40000 29 515 
38715 29703 T 1
34926 37436 S 14
13274 34031 S 7
39737 21456 T 15
26720 17317 D 2
12778 16741 D 12
36370 33748 D 18
21051 36633 S 11
22687 3904 S 7
37692 11684 T 10
2066 22227 S 1
3682 13948 S 11
31265 30284 D 17
7025 10340 S 7
4088 33304 D 12
26288 38131 S 5
38387 31240 D 9
39275 27185 T 17
9411 9722 T 7
23669 10812 S 3
1095 13194 S 11
23533 25917 T 18
15572 8914 T 5
3397 39419 S 5
30658 33770 D 13
17307 1253 S 17
7326 27118 D 2
34281 25062 S 15
38255 10308 S 17
32576 4062 D 17
9327 276 D 6
39694 17191 S 16
7313 8716 S 11
6320 610 S 2
24079 32904 D 3
17965 35973 T 13
2632 9932 D 2
10345 29173 S 9
25800 6065 S 3
19607 39603 D 1
8318 17885 D 18
18494 4632 S 1
37535 18328 S 4
10652 23721 S 16
30005 11484 T 6
37009 37253 T 18
3317 5118 D 4
4720 13199 T 14
31083 3138 D 18
4121 37716 S 6
12395 18486 S 13
2207 30631 T 2
38467 30228 T 4
27480 1635 D 2
3104 22934 T 11
32485 1671 S 1
1161 26645 S 16
24360 27050 D 8
5535 9497 S 18
36479 1537 T 10
28116 17918 T 5
19552 5053 S 19
24338 38220 S 17
36242 36743 D 15
23387 22587 S 2
9636 38674 S 9
8170 9707 S 1
7596 4621 D 4
18890 22715 D 3
24119 35807 S 17
34026 4275 T 13
37370 18370 S 18
956 19407 T 15
18080 18409 S 13
24467 26783 T 9
27755 15897 D 17
34963 24486 D 8
20292 18884 T 15
19510 5519 S 3
23889 14013 T 11
29772 18840 T 19
37248 39307 S 17
26089 6756 D 12
22652 34252 T 19
15089 18276 S 16
37159 16936 S 13
22455 36041 S 15
10054 27533 T 1
6372 8380 T 13
7686 30830 D 19
33937 31811 S 4
22414 20807 S 16
39082 23600 D 10
536 31634 S 3
27675 39158 T 8
23042 5925 T 18
10657 37930 T 9
25112 7418 S 9
35581 8788 T 13
29594 22541 D 18
2492 1081 S 15
29066 23230 S 16
18739 755 T 4
3032 1074 T 4
35356 9630 D 15
17048 36848 D 11
5635 24205 T 7
3097 38820 S 4
39900 30578 S 10
10160 16391 T 14
13497 5580 S 5
3005 10925 S 9
16907 14948 S 3
8147 3748 S 10
24304 33553 D 5
28725 18321 D 19
5250 27011 T 16
3401 8702 T 16
14281 24040 T 18
31316 16344 S 14
31291 23526 S 1
27273 1459 D 14
31364 11283 S 10
25955 21021 S 13
8031 15356 T 14
24057 39975 D 5
20366 10809 D 8
23504 20321 S 15
3847 14782 T 8
16240 16504 D 4
24139 27079 D 6
8099 29105 D 8
4460 33318 S 14
29644 37649 S 7
4809 31528 S 8
11849 30649 T 17
5430 6392 D 9
22896 34916 D 8
21994 2370 S 16
31474 3831 T 9
33500 11894 S 7
9542 355 T 7
31882 7546 T 16
38195 38472 T 1
1215 15293 T 1
6560 36325 S 15
38694 33677 S 18
33859 2978 D 19
14871 35954 T 8
36308 4 T 4
3901 30479 T 19
28950 4046 D 19
19338 16419 S 4
12743 34473 S 1
24501 11206 T 3
14184 13108 S 17
9061 12567 S 6
8922 1283 S 10
31761 18179 S 1
22224 13339 S 9
29758 14204 T 12
5028 20019 D 3
31225 37297 S 1
6757 6305 T 16
15224 630 S 19
38264 149 S 14
18327 8236 T 5
17926 10665 D 9
21220 11329 S 6
31347 9526 D 15
3174 12717 S 5
15373 15143 S 15
12124 32339 D 4
32487 4411 T 1
8998 3850 D 7
10866 35233 S 12
6561 33844 T 1
39721 23163 T 13
32231 37511 D 7
9005 27626 T 8
19964 5643 T 17
10053 24631 T 17
24832 16384 S 19
11616 33283 S 8
23479 2465 D 16
21979 21967 S 6
15830 31621 T 10
19246 16361 D 5
22003 30181 T 7
11163 20329 T 5
33064 6135 D 6
35769 19471 T 8
18287 20695 D 11
2662 21242 D 14
9214 32635 D 16
8996 1990 T 14
28522 28383 T 16
5063 19566 T 16
25700 23720 T 7
39542 11065 T 13
31760 32216 D 14
9810 25268 D 19
14254 5290 S 7
3631 24206 S 3
12589 19059 D 6
38625 20218 T 16
3937 3988 D 6
15053 28267 S 8
20482 28452 D 15
10071 39550 S 16
1191 5851 D 3
30057 10875 S 8
29934 21514 D 18
1731 17831 S 18
18171 433 S 15
28699 15858 D 4
4309 23025 S 7
22574 34192 D 5
36394 38980 T 17
9855 18262 S 5
36127 31149 D 3
5331 22985 T 10
19769 34429 D 5
6638 38516 D 12
21540 38877 D 9
29420 16733 T 3
12064 5517 D 14
20131 26764 S 10
14264 31809 S 14
11146 39398 D 11
30179 1578 S 10
36445 2435 T 10
37663 22143 D 14
38875 35381 T 13
37250 14212 S 10
976 39969 D 5
28129 29510 S 7
25259 23336 S 17
21265 14976 T 7
17410 12718 T 5
34861 6846 D 13
38578 7750 S 5
21962 22937 S 10
22905 28602 D 14
14463 18416 S 10
38103 29550 S 4
4525 23762 S 19
36479 25472 T 4
28669 24565 T 13
28666 15154 S 4
38090 18038 D 10
2991 13498 T 9
28265 27741 D 7
13642 21387 T 6
5148 35511 D 3
17334 15215 T 12
36131 3446 S 18
14951 38080 T 18
16117 7097 D 3
16946 15116 S 11
39208 39141 T 3
20527 30012 D 15
21875 16520 T 17
28086 38376 S 3
38173 23865 T 1
21944 29842 S 1
36938 12901 D 16
24368 31839 D 4
27331 3373 D 15
33384 20142 S 6
33013 38942 D 4
33669 1435 D 11
25299 7029 T 16
33222 20182 S 7
33082 580 D 16
28770 12191 D 8
15563 26504 T 16
6645 39248 D 3
38189 20429 D 2
21863 15125 S 12
18506 14069 S 3
30603 37815 S 5
34746 31336 D 2
3527 27565 T 8
14069 12627 S 1
11874 33999 T 19
10779 22885 T 9
34362 7377 S 6
17797 32316 S 5
26482 11887 S 5
