SEM ATRITO 500N
150kg
//2.97s	10.0m/s
//3.10s	10.4m/s
//3.94s	13.2m/s
//4.02s	13.4m/s

5.01s	16.8m/s
4.99s	16.8m/s
4.93s	16.4m/s
4.99s	16.7m/s
5.00s	16.7m/s
4.94s	16.7m/s
4.99s	16.8m/s
4.93s	16.5m/s

//5.98s	20.0m/s
//5.92s	20.1m/s
//6.95s	23.5m/s
//6.95s	23.3m/s


200kg
5.01s	12.6m/s
4.98s	12.6m/s
4.97s	12.4m/s
4.98s	12.6m/s
5.05s	12.8m/s
4.93s	12.5m/s
4.93s	12.5m/s
5.06s	12.8m/s


250kg
5.05s	10.3m/s
4.93s	 9.9m/s
5.14s	10.3m/s
4.87s	 9.8m/s
4.98s	10.1m/s
4.97s	 9.9m/s
4.99s	10.1m/s
4.99s	10.2m/s







